id,email,phone_number,website_url
1,info@technovation.mn,+97699887766,https://technovation.mn
2,contact@gobi.mn,+97677554433,https://gobi.mn
3,info@mcs.mn,+97675757575,https://mcs.mn
4,office@monos.mn,+97688123456,https://monos.mn
5,info@mongolbank.mn,+97611311530,https://mongolbank.mn
6,info@mongolianmining.com,+97670120908,https://mongolianmining.com
7,contact@newmed.mn,+97677889900,https://newmed.mn
8,info@unitel.mn,+97688159977,https://unitel.mn
9,contact@ard.mn,+97675557777,https://ard.mn
10,info@nomadicconcepts.mn,+97699112233,https://nomadicconcepts.mn
