id,industry_id,lang,name,description
1,1,en,Information Technology,"Companies involved in software development, IT services, and technology innovation"
2,1,mn,Мэдээллийн технологи,"Програм хангамж хөгжүүлэлт, IT үйлчилгээ, технологийн шинэчлэл хийдэг компаниуд"
3,2,en,Finance and Banking,"Financial institutions, banks, investment firms, and insurance companies"
4,2,mn,Санхүү ба Банк,"Санхүүгийн байгууллагууд, банкууд, хөрөнгө оруулалтын компаниуд, даатгалын компаниуд"
5,3,en,Mining,"Companies involved in extraction of minerals, coal mining, and related activities"
6,3,mn,Уул уурхай,"Ашигт малтмал олборлолт, нүүрс олборлолт болон холбогдох үйл ажиллагаа эрхэлдэг компаниуд"
7,4,en,Healthcare,"Hospitals, clinics, pharmaceutical companies, and healthcare providers"
8,4,mn,Эрүүл мэнд,"Эмнэлгүүд, эмийн сангууд, эм үйлдвэрлэгч компаниуд, эрүүл мэндийн үйлчилгээ үзүүлэгчид"
9,5,en,Manufacturing,"Production of goods, textile manufacturing, and industrial processing"
10,5,mn,Үйлдвэрлэл,"Бараа бүтээгдэхүүн үйлдвэрлэл, нэхмэл бүтээгдэхүүн үйлдвэрлэл, аж үйлдвэрийн боловсруулалт"
11,6,en,Telecommunications,"Companies providing internet, mobile, and communication services"
12,6,mn,Харилцаа холбоо,"Интернет, мобайл болон харилцаа холбооны үйлчилгээ үзүүлдэг компаниуд"
13,7,en,Education,"Educational institutions, schools, universities, and online learning platforms"
14,7,mn,Боловсрол,"Боловсролын байгууллагууд, сургуулиуд, их сургуулиуд, онлайн сургалтын платформууд"
15,8,en,Marketing and Advertising,"Marketing agencies, advertising firms, and creative services"
16,8,mn,Маркетинг ба Сурталчилгаа,"Маркетингийн агентлагууд, сурталчилгааны компаниуд, креатив үйлчилгээнүүд"
17,9,en,Retail and E-commerce,"Retail stores, online shops, and e-commerce platforms"
18,9,mn,Жижиглэн худалдаа ба Э-худалдаа,"Жижиглэн худалдааны дэлгүүрүүд, онлайн дэлгүүрүүд, э-худалдааны платформууд"
19,10,en,Construction,"Building construction, infrastructure development, and architectural services"
20,10,mn,Барилга,"Барилга байгууламж барих, дэд бүтцийн хөгжүүлэлт, архитектурын үйлчилгээнүүд"
